name,genre
 Lionel Richie ,Alternative
 Panjabi MC ,Dance
 Randy Travis ,Country
 blink-182 ,Rock
 Gene Watson ,Traditional Country
 J. Cole ,Hip-Hop/Rap
 James Blunt ,Pop/Rock
 Sara Bareilles ,Singer/Songwriter
 Heidi Feek ,Americana
 Alice Cooper ,Rock
 Ashanti ,R&B/Soul
 Omarion ,R&B/Soul
 Shane Owens ,Country
 The Mavericks ,Contemporary Country
 Jess Glynne ,Pop
 Emmylou Harris ,Blues/Folk
 LeAnn Rimes ,Country
 Bee Gees ,Disco
 Bow Wow ,Hip-Hop/Rap
 Jake Miller ,Hip-Hop/Rap
 Major Lazer ,Reggae
 Omi ,World
 Olivia Newton-John ,Disco
 Ricky Martin ,World/International
 Ronnie Dunn ,Contemporary Country
 The Rolling Stones ,Rock
 Saint Gurmeet Ram Rahim Singh Ji Insan ,Praise & Worship
 mako girls ,Pop
 Big Time Rush ,Pop
 Bob Marley ,Ska
 Bon Jovi ,Rock & Roll
 Clint Black ,Country
 Fabolous ,Hip-Hop/Rap
 Jessie James Decker ,Country
 Ke$ha ,Pop
 Mario ,R&B/Soul
 Rodney Carrington ,Comedy
 Toni Braxton ,R&B/Soul
 Marianas Trench ,Pop/Rock
 big and rich ,Country
 Travi$ Scott ,Hip-Hop/Rap
 AVANT ,Soul
 Green Day ,Punk
 LL Cool J ,Hip-Hop/Rap
 Meat Loaf ,Rock
 WALK THE MOON ,Alternative
 Jon Pardi ,Alternative Country
 Hozier ,Acoustic Blues
 Ola Dips ,Rap
 2 Chainz ,Hip-Hop/Rap
 AC/DC ,Rock
 All Time Low ,Alternative
 Billie Holiday ,Jazz
 Bonnie Raitt ,Americana
 Craig Morgan ,Country
 Disturbed ,Metal
 French Montana ,Hip-Hop
 Jason Mraz ,College Rock
 Lee Ann Womack ,Americana
 Marty Stuart ,Country
 Michael Bolton ,Pop
 Sugarland ,Country
 The Black Keys ,Alternative
 Yolanda Adams ,R&B/Soul
 Echosmith ,Alternative
 Anthony Hamilton ,R&B/Soul
 Collective Soul ,Rock
 Def Leppard ,British Invasion
 Ice Cube ,Hip-Hop/Rap
 Erykah Badu ,R&B/Soul
 John Mayer ,Rock
 Kid Ink ,Rap
 Lindsay Ell ,Country
 Lynyrd Skynyrd ,Southern Rock
 Mindless Behavior ,Pop
 Pistol Annies ,Country
 Rodney Atkins ,Country
 Shaggy ,Reggae
 T-Pain ,Hip-Hop/Rap
 Tina Turner ,Pop
 Tool ,Rock
 Trisha Yearwood ,Country
 The Lacs ,Alternative Country
 The Chainsmokers ,House
 99 ,Electronic
 Alabama ,Country
 Blackberry Smoke ,Outlaw Country
 Busta Rhymes ,Hip-Hop/Rap
 David Bowie ,Glam Rock
 David Cook ,Pop/Rock
 Don Omar ,Reggaeton y Hip-Hop
 Hot Chelle Rae ,Pop
 Jessica Simpson ,Pop
 Jo Dee Messina ,Country
 Loretta Lynn ,Country
 Maxwell ,R&B/Soul
 Montgomery Gentry ,Contemporary Country
 Monica ,R&B/Soul
 Pink Floyd ,Prog-Rock/Art Rock
 Pierce the Veil ,Hardcore
 Queen ,Rock
 Young Jeezy ,Hip-Hop/Rap
 The Spill Canvas ,Rock
 Tom Jones ,Pop
 Whitesnake ,Rock
 Will.I.Am ,Pop
 Jacquie Lee ,Pop
 Aerosmith ,Rock
 Beastie Boys ,Punk
 B.o.B ,Hip-Hop/Rap
 Cee-Lo Green ,R&B/Soul
 Chris LeDoux ,Country
 Clutch ,Rock & Roll
 Easton Corbin ,Traditional Country
 Foreigner ,Rock
 Gavin DeGraw ,Singer/Songwriter
 Hollywood Undead ,Rock
 Jerrod Niemann ,Country
 Lauryn Hill ,Hip-Hop/Rap
 Missy Elliott ,Hip-Hop/Rap
 Seether ,Rock
 Tiësto ,Electronic
 Thompson Square ,Country
 Tracy Lawrence ,Country
 Uncle Kracker ,Alternative Country
 Casey James ,Country
 Brandon Michael ,Pop
 Aretha Franklin ,R&B/Soul
 Boyz II Men ,R&B/Soul
 Corb Lund ,Alternative Country
 Cyndi Lauper ,Rock
 Gorillaz ,Hip-Hop/Rap
 Keyshia Cole ,R&B/Soul
 Laura Bell Bundy ,Country
 Mac Miller ,Hip-Hop/Rap
 Ludacris ,Hip-Hop/Rap
 Mary J. Blige ,R&B/Soul
 Paris Hilton ,Rock
 The Killers ,Rock
 U2 ,Rock
 Van Halen ,Classic Rock
 ZZ Top ,Rock
 Alice in Chains ,Alternative
 Asking Alexandria ,Hard Rock
 Billy Ray Cyrus ,Country
 Chris Tomlin ,Praise & Worship
 Daughtry ,Rock
 Evanescence ,Rock
 Fleetwood Mac ,Rock
 Kelly Price ,R&B/Soul
 Lucy Hale ,Contemporary Country
 Meghan Linsey ,Country
 Miguel ,R&B/Soul
 Ne-Yo ,R&B/Soul
 Tech N9ne ,Hip-Hop/Rap
 The Cult ,Rock
 Trans-Siberian Orchestra ,Rock
 Wale ,Hip-Hop
 John Newman ,Electronic
 Thirty Seconds to Mars ,Rock
 Afrojack ,Dance
 Babyface ,R&B/Soul
 Chuck Wicks ,Country
 Creed ,Rock
 Dean Brody ,Country
 Eagles ,Rock
 Hanson ,Pop/Rock
 Janis Joplin ,Rock
 Kyle Park ,Contemporary Country
 Jimmy Buffett ,Classic Rock
 John Michael Montgomery ,Country
 Jonas Brothers ,Pop/Rock
 Julie Roberts ,Americana
 k.d. lang ,Country
 Love and Theft ,Contemporary Country
 Matt Stillwell ,Alternative Country
 Paul McCartney ,Rock & Roll
 Patty Loveless ,Country
 Pearl Jam ,Rock
 Rhett Akins ,Country
 Ronnie Milsap ,Country
 Steve Aoki ,Dance
 Sting ,Rock
 System of a Down ,Rock
 The Fray ,Rock
 Third Eye Blind ,Alternative
 Three Days Grace ,Alternative
 Will Smith ,Hip-Hop/Rap
 Futuristic ,Hip-Hop/Rap
 Krewella ,Electronic
 Andy Grammer ,Pop
 RaeLynn ,Contemporary Country
 Damien Escobar ,Hip-Hop
 Ace Hood ,Hip-Hop/Rap
 Armin van Buuren ,Trance
 Brian McKnight ,R&B/Soul
 Bruce Springsteen ,Rock
 Charlie Robison ,Country
 Chris Stapleton ,Country
 Christina Perri ,Pop/Rock
 Corey Smith ,Alternative Country
 Dashboard Confessional ,Rock
 Destiny's Child ,R&B/Soul
 Dionne Warwick ,Soul
 Elton John ,Pop/Rock
 Five Finger Death Punch ,Metal
 Holly Williams ,Americana
 James Otto ,Contemporary Country
 John Denver ,Singer/Songwriter
 Kate Ryan ,Dance
 Kiss ,Rock
 Lalah Hathaway ,R&B
 Led Zeppelin ,Rock
 Michael Bublé ,Easy Listening
 Nelly Furtado ,Pop
 Pusha T ,Hip-Hop/Rap
 Rachel Potter ,Contemporary Country
 Raheem DeVaughn ,R&B/Soul
 Rhonda Vincent ,Country
 Robert Plant ,Rock
 Shinedown ,Rock
 Smokey Robinson ,R&B/Soul
 Terri Clark ,Country
 The Grascals ,Bluegrass
 Tamar Braxton ,Contemporary R&B
 BANKS ,Alternative
 Zack Knight ,Contemporary R&B
 Lacy Cavalier ,Country
 Chase Bryant ,Country
 Karen Waldrup ,Country
 Bank Notes ,Hip-Hop/Rap
 Amerie ,R&B/Soul
 Black Sabbath ,Metal
 Boys Like Girls ,Rock
 George Michael ,Pop/Rock
 Kelleigh Bannen ,Contemporary Country
 Korn ,Alternative
 Lykke Li ,Pop/Rock
 MAX ,Pop/Rock
 Natasha Bedingfield ,Pop
 Nikki Lane ,Outlaw Country
 Phil Vassar ,Country
 Rammstein ,Rock
 Richard Marx ,Adult Contemporary
 Ryan Adams ,Alternative Country
 Styx ,Alternative
 The Wanted ,Pop
 Cinderella ,Rock
 The 1975 ,Indie Rock
 Tom Odell ,Alternative
 Sundy Best ,Country
 Keith Walker ,Contemporary Country
 Aaron Watson ,Country
 Azealia Banks ,Rap
 Bilal ,Soul
 Bob Seger ,Rock
 Bobby Bare ,Country
 Cher ,Pop
 Cobra Starship ,Alternative
 Daft Punk ,Dance
 Diplo ,Dance
 Fantasia ,R&B/Soul
 Fergie ,Electronic/Dance
 Frankie Ballard ,Country
 fun. ,Alternative
 Hilary Duff ,Pop
 Joe Thomas ,R&B/Soul
 Jessie Ware ,Pop
 Jethro Tull ,Rock
 Juicy J ,Hip-Hop/Rap
 Leona Lewis ,Rock
 Lyle Lovett ,Country
 Marco Antonio Solís ,World/International
 Mary Mary ,R&B/Soul
 Newsboys ,Christian & Gospel
 Nicole Scherzinger ,Rock
 Pat Benatar ,Rock
 Paulina Rubio ,Pop
 Shawn Mullins ,Rock
 SHeDAISY ,Country
 Shelby Lynne ,Americana
 Simple Plan ,Pop/Rock
 Soundgarden ,Rock
 The Beach Boys ,Rock
 The Cranberries ,Rock
 The Smashing Pumpkins ,Alternative
 UB40 ,Reggae
 William Fitzsimmons ,Contemporary Folk
 Alabama Shakes ,Rock
 Haze Da Punter ,Hip-Hop
 Nico & Vinz ,Pop
 Alanis Morissette ,Pop/Rock
 Anita Baker ,Soul
 Angie Stone ,R&B/Soul
 Bad Company ,Classic Rock
 Big Punisher ,Hip-Hop/Rap
 Casey Donahew Band ,Country
 Chely Wright ,Country
 Christina Milian ,R&B/Soul
 Colbie Caillat ,Pop
 Craig Campbell ,Country
 Crystal Gayle ,Country
 Culture Club ,New Wave
 D12 ,Hip-Hop
 Empire of the Sun ,Alternative
 Faith Evans ,R&B/Soul
 Fat Joe ,Hip-Hop/Rap
 Gloria Estefan ,World/International
 Jim Lauderdale ,Country
 Jill Scott ,R&B/Soul
 Jon B. ,Hip-Hop/Rap
 Katharine McPhee ,Pop
 Julyo ,World
 Keane ,Alternative
 Mastodon ,Metal
 matchbox twenty ,Rock
 Mystikal ,Hip-Hop/Rap
 Nick Carter ,Pop
 Papa Roach ,Rock
 Robin Lee Field ,Singer/Songwriter
 Rosanne Cash ,Country
 Scorpions ,Rock
 The Swon Brothers ,Country
 Tim Dugger ,Country
 Too Short ,Hip-Hop/Rap
 Trina ,Hip Hop
 Waka Flocka Flame ,Rap
 Phillip Phillips ,Rock
 Martin Kimble ,Alternative
 Christopher Thomas Holt ,Contemporary Country
 TheRockTheDance ,House
 Chance the Rapper ,Hip-Hop/Rap
 yasmeen williams ,Gospel
 3 Doors Down ,Rock
 3OH!3 ,Alternative
 Angus & Julia Stone ,Alternative Folk
 Ashlee Simpson ,Pop
 Barry Manilow ,Adult Contemporary
 Birdman ,Hip-Hop/Rap
 Bob Dylan ,Rock
